,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Lucas Ropek,Woman Says She Used an Apple AirTag to Track Down Stolen Kamala Harris Sign,"When her lawn signs kept disappearing, one Missouri woman turned to innovative measures.",https://gizmodo.com/woman-says-she-used-an-apple-airtag-to-track-down-stolen-kamala-harris-sign-2000515848,https://gizmodo.com/app/uploads/2024/10/Kamala-Harris-and-Donald-Trump-signs-.jpg,2024-10-24T13:05:49Z,"We’re in the final two weeks before the U.S. presidential election, which means that it’s currently peak campaign-sign-stealing season. Indeed, one woman in Missouri says she grew so tired of the Kam… [+2510 chars]",,Gizmodo.com
1,Matt Novak,Dems Launch Taylor Swift Snapchat Filter to Target Young Voters for Kamala Harris,The campaign pushes users to IWillVote.com to make sure they're registered.,https://gizmodo.com/dems-launch-taylor-swift-snapchat-filter-to-target-young-voters-for-kamala-harris-2000513374,https://gizmodo.com/app/uploads/2024/10/taylor-swift-snapchat-filters.jpg,2024-10-18T12:55:08Z,"The Democratic National Committee announced a new campaign Friday morning targeting youth voters and fans of Taylor Swift, the biggest pop star in the world right now, with the hopes of turning out m… [+3301 chars]",,Gizmodo.com
2,Lucas Ropek,"Kamala Harris Might Keep Lina Khan at the FTC, After All","If she wins in November, there are indicators that Harris will keep the controversial FTC head, a new report claims.",https://gizmodo.com/kamala-harris-might-keep-lina-khan-at-the-ftc-after-all-2000513157,https://gizmodo.com/app/uploads/2024/10/Lina-Khan-at-the-Fast-Company-Innovation-Festival.jpg,2024-10-17T20:45:06Z,"Lina Khan, the head of the Federal Trade Commission, has proven to be a contentious figurearguably because, unlike some of the FTC chairs who came before her, she seems intent on actually doing her j… [+2894 chars]",,Gizmodo.com
3,Daniel Cox,All the single ladies are voting for Kamala,Unmarried women make up a whopping 25% of the electorate. That's bad news for Donald Trump.,https://www.businessinsider.com/single-women-political-power-voting-kamala-harris-election-2024-10,https://i.insider.com/670950eda70318649281415c?width=1200&format=jpeg,2024-10-16T09:31:01Z,"Kiersten Essenpreis for BI
Soon after former President Donald Trump selected Sen. JD Vance to be his running mate in July, the Ohio senator's 2021 comment about ""childless cat ladies"" recirculated a… [+10783 chars]",business-insider,Business Insider
4,,[Removed],[Removed],https://removed.com,,2024-10-23T10:00:46Z,[Removed],,[Removed]
5,Brent D. Griffiths,Mark Cuban will campaign for Kamala Harris in 3 key swing states,Billionaire Mark Cuban will appear on Kamala Harris' behalf in three swing states by the end of the week.,https://www.businessinsider.com/kamala-harris-mark-cuban-campaign-swing-states-sec-chair-2024-10,https://i.insider.com/67114b8bfd8ede6c99e37ae3?width=1024&format=jpeg,2024-10-17T18:04:39Z,"Billionaire investor Mark Cuban said Vice President Kamala Harris Rick Kern via Getty Images; Saul Loeb/AFP via Getty Images
<ul><li>Billionaire Mark Cuban is hitting the stump for Kamala Harris.</l… [+2170 chars]",business-insider,Business Insider
6,Matt Novak,Trump Supporters’ Fake Stories About Harris and Walz Flood the ‘For You’ Page on X,X has truly become a garbage heap since Trump donor Elon Musk bought the site.,https://gizmodo.com/trump-supporters-fake-stories-about-harris-and-walz-flood-the-for-you-page-on-x-2000514522,https://gizmodo.com/app/uploads/2024/10/trump-mcdonalds-pennsylvania.jpg,2024-10-21T20:10:02Z,"The 2024 presidential campaign has been awash with fake stories about Vice President Kamala Harris and her running mate Tim Walz in recent months, all spread by supporters of Donald Trump. But nowher… [+9189 chars]",,Gizmodo.com
7,"Ayelet Sheffey,Juliana Kaplan","Kamala Harris wants to expand student-loan forgiveness for 10,000 doctors and nurses who agree to work in rural areas",Vice President Kamala Harris is proposing an expansion of student-loan forgiveness programs to recruit healthcare workers to rural areas in the US.,https://www.businessinsider.com/student-loan-forgiveness-kamala-harris-recruit-doctors-nurses-rural-communities-2024-10,https://i.insider.com/670e7e82a70318649281d6d1?width=1024&format=jpeg,2024-10-15T15:35:05Z,"Vice President Kamala Harris proposed expanding student-loan forgiveness for rural healthcare workers.Joe Raedle/Getty Images
<ul><li>Vice President Kamala Harris proposed an initiative to expand he… [+4061 chars]",business-insider,Business Insider
8,Theron Mohamed,"No recession risk regardless of who wins the White House, says Blackstone's Steve Schwarzman",Blackstone CEO Steve Schwarzman said the US economy looks robust and both Donald Trump and Kamala Harris are running on pro-growth policies.,https://www.businessinsider.com/us-economy-recession-outlook-schwarzman-blackstone-trump-harris-election-inflation-2024-10,https://i.insider.com/6718e3ae9b3250dbbce95f60?width=1200&format=jpeg,2024-10-23T12:24:02Z,"Steve Schwarzman is CEO of Blackstone, which manages assets of about $1 trillion.Reuters
<ul><li>Steve Schwarzman doesn't expect a recession whether Donald Trump or Kamala Harris win the election.</… [+3127 chars]",business-insider,Business Insider
9,Hannah Abraham,Russia claims it doesn't care who wins the US election. Its state media tells another story.,"Kamala Harris' tendency to burst out laughing has been ridiculed on Russian state TV.  Meanwhile, Donald Trump has been portrayed as confident.",https://www.businessinsider.com/russia-state-media-trump-harris-presidential-us-election-putin-kremlin-2024-10,https://i.insider.com/6717c24901ea6d83dee322eb?width=1200&format=jpeg,2024-10-22T15:28:06Z,"Despite claims that it doesn't care, Russia's state media has consistently favored Donald TrumpBRENDAN SMIALOWSKI/AFP via Getty Images
<ul><li>Despite the Kremlin's neutral stance, Russian state med… [+4696 chars]",business-insider,Business Insider
