,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,"Brent D. Griffiths,John L. Dorman",The JD Vance and Tim Walz debate is likely the last big night of the 2024 campaign. Here's what to expect.,JD Vance and Tim Walz are both sons of the Midwest who on Tuesday are expected to clash in what will be their highest-profile appearance to date.,https://www.businessinsider.com/vance-walz-vice-presidential-debate-preview-2024-9,https://i.insider.com/66f71b39f9f6733e4be08846?width=1200&format=jpeg,2024-09-28T11:31:01Z,"Tim Walz and JD Vance will be secondary characters in their own debate.Drew Hallowell/Getty Images; Andrew Harnik/Getty Images; Brandon Bell/Getty Images; Rebecca Zisser/BI
<ul><li>Ohio Sen. JD Vanc… [+9910 chars]",business-insider,Business Insider
1,Katie Notopoulos,Threads joins X in blocking posts to apparently leaked documents about JD Vance,Threads is blocking links to purportedly leaked documents about vice presidential candidate JD Vance. Elon Musk's X blocked links earlier this week.,https://www.businessinsider.com/threads-blocks-jd-vance-leaked-links-2024-9,https://i.insider.com/66f7129fde59ade1a3b57da6?width=1200&format=jpeg,2024-09-27T23:19:29Z,"Mark Zuckerberg's Threads is blocking a link to purportedly leaked documents about JD Vance.Allison Joyce / Alex Wong / Getty
<ul><li>Threads is blocking links to an article that may contain links t… [+2412 chars]",business-insider,Business Insider
2,Lauren Edmonds,I made Tim Walz's Turkey Trot Tater-Tot Hotdish ahead of his debate with JD Vance. Here's how to prepare the easy meal.,"As Gov. Tim Walz and Sen. JD Vance attempt to woo American voters this election season, they've both deployed a classic strategy: relatable foods.",https://www.businessinsider.com/tim-walz-turkey-trot-tater-tot-hotdish-recipe-2024-9,https://i.insider.com/66d8c143289b805d1db46519?width=1200&format=jpeg,2024-09-29T08:11:02Z,"Tim Walz's Turkey Trot Tater-Tot Hotdish went viral on social media in August. Lauren Edmonds/Business Insider
<ul><li>Minnesota Gov. Tim Walz will debate Ohio Sen. JD Vance on October 1.</li><li>Wa… [+6425 chars]",business-insider,Business Insider
3,Brent D. Griffiths,JD Vance has broken through during the 2024 campaign in all the wrong ways,Poll averages show that JD Vance is the least liked of the four major figures in the 2024 race. Tuesday's VP debate is his best chance to change that.,https://www.businessinsider.com/jd-vance-unpopularity-struggles-polls-vp-debate-walz-trump-harris-2024-9,https://i.insider.com/66f7ed4cf44bdb4cfa37e73f?width=1200&format=jpeg,2024-09-30T09:31:02Z,"Polls show Sen. JD Vance of Ohio is the least liked of the major presidential nominees and their respective running mates.Melissa Sue Gerrits/Getty Images
<ul><li>Sen. JD Vance is one of the least-l… [+5021 chars]",business-insider,Business Insider
4,Aaron Pruner,How to Watch the Vance vs. Walz Vice Presidential Debate Without Cable,Learn what time the debate starts and where to stream it without cable.,https://www.cnet.com/tech/services-and-software/how-to-watch-the-vance-vs-walz-vice-presidential-debate-without-cable/,https://www.cnet.com/a/img/resize/df9b0e1977caa762bac1d1774fa0094df3520719/hub/2024/09/26/987a56d7-f6c0-40be-9b9e-1bb19d905712/gettyimages-2167077429-2165071369-tim-walz-jd-vance.png?auto=webp&fit=crop&height=675&width=1200,2024-09-29T12:00:42Z,"Republican Ohio Senator J.D. Vance and Tim Walz, the Democratic Governor of Minnesota, are gearing up to meet for Tuesday's first and only vice-presidential debate. The event will occur in New York C… [+2440 chars]",,CNET
5,WPXI.com News Staff,Primanti Brothers says Vice President Nominee JD Vance was not turned away for visit,"During an already busy political week in the Western Pennsylvania area, Republican Vice Presidential Nominee JD Vance made a stop in Allegheny County.",https://www.yahoo.com/news/primanti-brothers-says-vice-president-215547118.html,https://media.zenfs.com/en/wpxi_cox_articles_540/c179db547c9c35333c9c042720fef560,2024-09-28T21:55:47Z,"During an already busy political week in the Western Pennsylvania area, Republican Vice Presidential Nominee JD Vance made a stop in Allegheny County.
Video posted to social media shows that he trie… [+690 chars]",,Yahoo Entertainment
6,Nik Popli,These Are the Rules of the CBS Vice-Presidential Debate,"From hot mics to no studio audience, here are the rules for when J.D. Vance and Tim Walz face off in the CBS vice-presidential debate.",https://time.com/7026036/vance-walz-debate-rules-cbs-2024-microphones/,https://api.time.com/wp-content/uploads/2024/09/vice-president-debate-2024.jpg?quality=85&w=1200&h=628&crop=1,2024-09-27T19:11:15Z,"J.D. Vance and Tim Walz are set to face off for the first time in a vice presidential debate on Oct. 1, in what will likely be the last major debate of the 2024 election cycle.
The match-up between … [+4230 chars]",time,Time
7,Sarah Beth Hensley,"Walz-Vance VP Debate: How to watch, what to know",Minnesota Gov. Tim Walz and Ohio Sen. JD Vance are set to face off in their only scheduled vice-presidential debate next week.,https://abcnews.go.com/Politics/walz-vance-vp-debate-watch/story?id=114201347,https://i.abcnewsfe.com/a/7ae13e56-512c-478c-a2e7-a8582156ec39/vance-walz-01-ss-jt-240926_1727376641113_hpMain_16x9.jpg?w=1600,2024-09-30T14:25:40Z,"Minnesota Gov. Tim Walz and Ohio Sen. JD Vance are set to hold their only scheduled vice-presidential debate on Tuesday.
The pair will face off just a few weeks after former President Donald Trump a… [+2257 chars]",abc-news,ABC News
8,Armando Garcia,Springfield officials declined to speak with Vance amid claims about Haitian migrants,"Emails obtained by ABC News show Springfield, Ohio city officials declined to meet with former President Donald Trump’s running mate Sen. JD Vance earlier this month.",https://abcnews.go.com/Politics/springfield-city-officials-declined-call-vance-amid-baseless/story?id=114216453,https://i.abcnewsfe.com/a/fecefa21-96f9-4b14-96be-f42423319ff5/vance-03-gty-jt-240926_1727378296335_hpMain_16x9.jpg?w=1600,2024-09-27T01:03:31Z,"Springfield, Ohio, city officials declined to take a call with former President Donald Trump's running mate Ohio Sen. JD Vance earlier this month, as the Trump campaign continued to spread unsubstant… [+5654 chars]",abc-news,ABC News
9,Matthew Gault,Musk’s X Falls Below $10 Billion as Value Continues to Plummet,The social media site is probably worth less than a quarter of the $44 billion he paid for it.,https://gizmodo.com/musks-x-falls-below-10-billion-as-value-continues-to-plummet-2000505023,https://gizmodo.com/app/uploads/2024/09/ElonMuskTwitter2.jpg,2024-09-30T14:30:18Z,"Elon Musk bought Twitter for $44 billion back in 2022. Now its worth less than a quarter of that, according to a new financial disclosure from the investment firm Fidelity.
As first spotted by Techc… [+2993 chars]",,Gizmodo.com
